dataset,distance,mean_density,sd_density,n_datasets,se_density
strain_yWT04a,39.0,0.05195166023806428,0.01861125301366394,16,0.004652813253415985
strain_yWT04a,40.0,0.051675263180258064,0.018923296508299978,16,0.004730824127074994
strain_yWT04a,41.0,0.05234877000142384,0.01857759349663669,16,0.0046443983741591725
strain_yWT04a,42.0,0.05211458553336789,0.01907046575459463,16,0.004767616438648658
strain_yWT04a,43.0,0.05268831886393677,0.01998217077788789,16,0.0049955426944719725
strain_yWT04a,44.0,0.05331754381376691,0.021068981442683498,16,0.0052672453606708745
strain_yWT04a,45.0,0.05387122929910787,0.01883511209337388,16,0.00470877802334347
strain_yWT04a,46.0,0.05392236864171608,0.01934240087242553,16,0.004835600218106383
strain_yWT04a,47.0,0.054498898378491124,0.020319755760334506,16,0.005079938940083626
strain_yWT04a,48.0,0.05426281074054054,0.019873907460876764,16,0.004968476865219191
strain_yWT04a,49.0,0.0555547602359546,0.01924966801272951,16,0.004812417003182377
strain_yWT04a,50.0,0.05621222205723915,0.020351996111485332,16,0.005087999027871333
strain_yWT04a,51.0,0.0547594593231834,0.01913667140895376,16,0.00478416785223844
strain_yWT04a,52.0,0.05595805217377365,0.02079068484775436,16,0.00519767121193859
strain_yWT04a,53.0,0.05619179960720261,0.019162686445257145,16,0.004790671611314286
strain_yWT04a,54.0,0.05616866837961881,0.02087641627347885,16,0.005219104068369712
strain_yWT04a,55.0,0.05648685243701033,0.020122153098243997,16,0.005030538274560999
strain_yWT04a,56.0,0.055813782262041985,0.019569999074096144,16,0.004892499768524036
strain_yWT04a,57.0,0.05651668297727775,0.019377288610630882,16,0.0048443221526577205
strain_yWT04a,58.0,0.05640213008493609,0.019790551834299556,16,0.004947637958574889
strain_yWT04a,59.0,0.056326749923149774,0.019328411901770506,16,0.004832102975442626
strain_yWT04a,60.0,0.058524320344325455,0.020406560328869356,16,0.005101640082217339
strain_yWT04a,61.0,0.05700582843344913,0.020598579641480864,16,0.005149644910370216
strain_yWT04a,62.0,0.05842709851490936,0.022084764328979798,16,0.0055211910822449495
strain_yWT04a,63.0,0.0591294961789402,0.02014548356365962,16,0.005036370890914905
strain_yWT04a,64.0,0.05877952099480123,0.020818102108422974,16,0.005204525527105743
strain_yWT04a,65.0,0.05897203181965997,0.02061259759834908,16,0.00515314939958727
strain_yWT04a,66.0,0.05816212396430381,0.018658680385540995,16,0.004664670096385249
strain_yWT04a,67.0,0.05828415572732616,0.020897023871187945,16,0.005224255967796986
strain_yWT04a,68.0,0.05888282348511374,0.02003109660719286,16,0.005007774151798215
strain_yWT04a,69.0,0.06002621003154166,0.021274392814160263,16,0.005318598203540066
strain_yWT04a,70.0,0.0610793996002928,0.02140909295887571,16,0.005352273239718927
strain_yWT04a,71.0,0.06155328151253097,0.020936235805989703,16,0.005234058951497426
strain_yWT04a,72.0,0.06271125332976961,0.022337368379156942,16,0.0055843420947892354
strain_yWT04a,73.0,0.06361765885325371,0.022260450216864344,16,0.005565112554216086
strain_yWT04a,74.0,0.0632114806878662,0.022869166291801316,16,0.005717291572950329
strain_yWT04a,75.0,0.06434629307384306,0.022196412275590327,16,0.005549103068897582
strain_yWT04a,76.0,0.06384339270868353,0.021707782959915326,16,0.0054269457399788315
strain_yWT04a,77.0,0.06608995341012108,0.024484697837360278,16,0.0061211744593400695
strain_yWT04a,78.0,0.06585700278936826,0.023116790465727163,16,0.005779197616431791
strain_yWT04a,79.0,0.0643590887034581,0.020789196695720352,16,0.005197299173930088
strain_yWT04a,80.0,0.06699475421444331,0.022713792023783895,16,0.005678448005945974
strain_yWT04a,81.0,0.06830838087061411,0.022690660709565904,16,0.005672665177391476
strain_yWT04a,82.0,0.07030679587001104,0.023765484294121404,16,0.005941371073530351
